slope,intercept,r2
2.4683056938897097,6.601297203246337,0.581223934658214
2.1471786513142237,6.647332396892761,0.5794762709459373
3.686270835906072,6.103080060561619,0.8642422448154723
3.3456818181818173,6.153712121212121,0.9146187755332738
2.728453638303535,6.468927370084287,0.6734252824252994
2.3938838669890576,6.564929700433198,0.6633694904162906
1.7838570732613757,6.825861822599158,0.7450131377924628
2.998366248666391,6.316618444567227,0.9136832502971024
1.9722210284767854,6.843857583143775,0.8763661767365702
2.7284536383035336,6.468927370084287,0.6734252824252994
3.0394170403587455,6.351748878923766,0.8044193709582564
3.7848462888195926,5.941078687936913,0.8487334581303989
2.6602325581395356,6.533023255813953,0.7661976627390586
2.5020775769677233,6.561554409983245,0.6968496885062585
3.2175,6.523333333333333,0.6621656628456707
2.5686863799699924,6.56386315053415,0.9576056582876139
3.139285714285715,6.167142857142857,0.8915330684215202
2.9961755967522885,6.4017500948136545,0.8091090930354401
3.1094577501630862,6.311064306209015,0.8970692956173656
1.6705621392272643,6.8622893501155255,0.70102350940078
2.0637414089982404,6.730128215487982,0.8700751934640818
2.2639655989423644,6.718402901905216,0.860429596616038
2.1648128342245996,6.747700534759359,0.8621331279531955
2.7575316455696197,6.422151898734178,0.7983495432514263
1.9633439483162491,6.7071602172453275,0.8016400783643366
2.959934890171432,6.327300523733509,0.7773189641454694
2.00134392262567,6.833015842519842,0.8479417081328511
2.7087670627769858,6.5203926834636015,0.6795473692577274
2.481968542467245,6.532269822477176,0.7324581185906789
2.4836865525052416,6.6239172981774495,0.9014171097527248
2.9629631660282056,6.311077679076327,0.9197467584812913
2.2363701801409026,6.690224533772456,0.8815015034886241
3.4895454545454547,6.028181818181818,0.9546376895639552
2.9840238968446577,6.32352360560839,0.911364179744596
2.175629987969025,6.767700574858676,0.9227069719397776
2.313243243243243,6.781081081081082,0.7935482597279532
2.658386706116903,6.471299159332181,0.9897198973136552
3.193562143660178,6.186931135932512,0.9017619398325822
2.556781728477805,6.4982251292181035,0.9562934255540555
2.4607790379815078,6.562048284500976,0.905807100722114
2.952793310512444,6.287706557758394,0.9420459817584577
2.451645569620255,6.695949367088608,0.49534470928432317
2.6513761995549263,6.471321644924083,0.9920056503857664
2.62446729565847,6.4654024611436895,0.5636122476019795
2.429833565618305,6.5948851524721785,0.9392923079436233
2.601463186585636,6.457778302114536,0.9777249380080948
2.073374828273515,6.750562170916196,0.8105987543406821
2.783010487918901,6.467079354284368,0.5255146602969801
2.9772955313616447,6.354782344531582,0.8274769913610056
2.5172501969517063,6.5558679280670775,0.9541442173351037
3.0002729835828745,6.376527441226673,0.8215446932943173
1.9484203425907987,6.7345575137976645,0.7257125454720359
3.3847806636088618,6.215119703505165,0.7030874771066896
3.169687500000002,6.2075000000000005,0.9113595529481998
2.514849397590363,6.639969879518072,0.7001239341142281
3.1191795896654173,6.321738228476552,0.825589011304609
2.750142857142858,6.426857142857143,0.8746208569536081
3.32166055114539,6.239828793236345,0.8137870340404756
2.8759506038680476,6.332198840142896,0.909852673426764
2.3195965094199265,6.57832545419635,0.9037500921885908
2.5526336748747163,6.498958688800132,0.708885532318636
3.0052894736842113,6.3254473684210515,0.6968129163720918
3.243789458259394,6.12531097079639,0.9355726258548891
2.6525125628140707,6.576231155778895,0.9623768992781717
3.0334090909090916,6.373409090909091,0.8360878662678504
2.9775,6.275,0.6980242965902396
3.5556617647058815,6.295441176470589,0.7077111562961669
3.6237453200291276,5.95473181416808,0.9512631996210212
2.6606496999921605,6.5093334632395266,0.8045834284032266
1.920736599561778,6.839327282869986,0.8696718497248453
2.407260044891252,6.627184912774774,0.7739075190196346
2.5050000000000003,6.554444444444444,0.7637020843507114
3.024959267211732,6.3146860559117695,0.7313195850281562
1.995455409352859,6.794743439445332,0.815460083056826
3.1144527219906033,6.4017417361414175,0.7802353847019763
2.1516998064380184,6.678670258780287,0.726451700139678
3.6809596528605426,6.099177051689626,0.8358755068722215
2.5252325581395354,6.634651162790698,0.8886593604902995
1.675795612876333,6.856108017222122,0.7718628155728389
2.444234693877552,6.61204081632653,0.7281922148125131
