Clip,H0,H1,LZ,Symmetry,Tenney
Pattern,1.0,0.0,1.5,0.0,
Pattern Break,1.4056390622295665,0.46358749969093305,1.5,0.0,
Symmetry,1.950212064914747,0.6666666666666666,2.0052535157554314,1.0,
Symmetry Break,2.2359263506290326,0.3333333333333333,2.406304218906518,0.7142857142857143,
Sequence,2.721928094887362,0.4444444444444444,2.6575424759098896,0.0,
Sequence Break,2.721928094887362,0.2222222222222222,2.6575424759098896,0.0,
Fifth Ratio,0.9852281360342515,0.0,1.6042028126043453,1.0,2.584962500721156
Tritone Ratio,0.9852281360342515,0.0,1.6042028126043453,1.0,10.491853096329674
Random,3.169925001442312,0.0,3.169925001442312,0.11111111111111116,
