Timestamp,Age_Group,Clip,Pleasantness,Stability,Restlessness
7/19/2026 13:29:31,15-18,Fifth Ratio,3,2,3
7/19/2026 14:15:52,15-18,Fifth Ratio,3,3,8
7/20/2026 15:54:12,15-18,Fifth Ratio,9,8,1
4/13/2026 15:45:50,15-18,Tritone Ratio,6,7,7
4/13/2026 15:52:14,15-18,Tritone Ratio,9,8,7
4/13/2026 16:08:47,15-18,Tritone Ratio,7,6,5
4/13/2026 16:21:05,15-18,Tritone Ratio,3,8,3
4/13/2026 16:23:53,15-18,Tritone Ratio,2,8,3
4/13/2026 16:25:09,15-18,Tritone Ratio,5,8,2
4/13/2026 16:48:39,15-18,Tritone Ratio,3,7,4
4/13/2026 17:02:17,15-18,Tritone Ratio,5,3,5
4/13/2026 17:22:35,18+,Tritone Ratio,10,1,10
4/13/2026 17:43:57,15-18,Tritone Ratio,4,9,9
4/13/2026 17:55:50,15-18,Tritone Ratio,9,1,9
4/13/2026 18:38:16,15-18,Tritone Ratio,8,8,7
4/13/2026 18:42:09,15-18,Tritone Ratio,10,1,10
4/13/2026 20:36:41,15-18,Tritone Ratio,2,10,3
4/13/2026 20:45:04,15-18,Tritone Ratio,7,9,7
4/13/2026 21:38:17,15-18,Tritone Ratio,5,5,8
4/13/2026 23:48:46,15-18,Tritone Ratio,7,9,7
4/14/2026 10:56:15,15-18,Tritone Ratio,7,8,7
4/14/2026 12:19:31,15-18,Tritone Ratio,10,4,10
4/14/2026 15:04:30,18+,Tritone Ratio,10,1,10
4/14/2026 15:12:21,18+,Tritone Ratio,8,4,6
4/14/2026 15:46:11,18+,Tritone Ratio,4,3,6
4/14/2026 19:00:39,15-18,Tritone Ratio,4,8,7
4/19/2026 22:40:46,15-18,Tritone Ratio,3,9,5
4/19/2026 22:43:05,15-18,Tritone Ratio,1,9,2
7/19/2026 13:17:39,15-18,Tritone Ratio,6,4,6
7/19/2026 13:19:35,15-18,Tritone Ratio,5,10,2
7/19/2026 13:19:55,15-18,Tritone Ratio,7,9,3
7/19/2026 13:29:31,15-18,Tritone Ratio,7,8,3
7/19/2026 14:15:52,15-18,Tritone Ratio,2,8,2
7/20/2026 15:54:12,15-18,Tritone Ratio,3,8,1
4/13/2026 15:45:50,15-18,Random,6,5,8
4/13/2026 15:52:14,15-18,Random,5,7,8
4/13/2026 16:08:47,15-18,Random,6,4,8
4/13/2026 16:21:05,15-18,Random,2,1,10
4/13/2026 16:23:53,15-18,Random,5,5,5
4/13/2026 16:25:09,15-18,Random,6,4,7
4/13/2026 16:48:39,15-18,Random,9,8,3
4/13/2026 17:02:17,15-18,Random,8,6,3
4/13/2026 17:22:35,18+,Random,10,10,1
4/13/2026 17:43:57,15-18,Random,8,10,6
4/13/2026 17:55:50,15-18,Random,8,9,1
4/13/2026 18:38:16,15-18,Random,9,9,8
4/13/2026 18:42:09,15-18,Random,10,10,1
4/13/2026 20:36:41,15-18,Random,8,7,3
4/13/2026 20:45:04,15-18,Random,8,8,8
4/13/2026 21:38:17,15-18,Random,1,1,1
4/13/2026 23:48:46,15-18,Random,8,8,8
4/14/2026 10:56:15,15-18,Random,6,5,8
